,Smoking
1389,1547.06286
1390,1606.561292
1391,1636.912621
1392,1822.796628
1393,1815.995824
1394,1837.896342
1395,1855.446239
1396,1898.539236
1397,2002.77641
1398,2155.039505
1399,2203.799503
1400,3580.89866
1401,3736.29352
1402,3955.835634
1403,4221.302658
1404,4485.565686
1405,4745.80488
1406,4887.591758
1407,4968.253544
1408,5079.948258
1409,5196.422445
1410,5332.810653
1411,5390.538917
1412,5428.54978
1413,5493.633819
1414,5592.615139
1415,5649.798091
1416,5723.233694
1417,5741.399413
1418,5727.332803
1419,5732.366934
1420,5785.568427
1421,5852.717768
1422,5953.831301
1423,6050.976572
1424,6154.978035
1425,6226.797658
1426,6262.449123
1427,6312.139392
1428,12425.56102
1429,12216.77464
1430,12173.01059
1431,12111.59155
1432,12021.93244
1433,12173.74418
1434,12421.80488
1435,12712.40616
1436,12414.79797
1437,12305.45374
1438,11792.10192
1439,11578.35362
1440,11636.23174
1441,11750.02531
1442,11195.94038
1443,11225.29174
1444,10907.99923
1445,10975.45466
1446,10959.70427
1447,10409.84041
1448,10198.51039
1449,10048.0613
1450,9945.103097
1451,9479.153432
1452,9666.7857
1453,9967.338255
1454,9437.690777
1455,9340.339474
1456,15152.97896
1457,15139.16448
1458,15486.58315
1459,15884.6447
1460,16015.45175
1461,15953.59006
1462,15913.86073
1463,15795.79505
1464,15958.73093
1465,16025.70435
1466,15701.56849
1467,15843.4146
1468,15232.6459
1469,15601.53372
1470,16000.31937
1471,16484.26131
1472,15984.08096
1473,16204.64823
1474,16570.43291
1475,16850.78354
1476,17105.59072
1477,16339.95848
1478,16915.85893
1479,17248.75282
1480,17625.56584
1481,18334.29639
1482,18471.54978
1483,18457.31728
1484,974.0769372
1485,993.9993714
1486,995.3847732
1487,996.0561232
1488,1008.196585
1489,1028.733207
1490,1071.901228
1491,1134.360927
1492,1177.808654
1493,1209.984365
1494,1258.113256
1495,1281.104034
1496,1309.338063
1497,1334.995814
1498,1361.54084
1499,1359.495508
1500,1348.834564
1501,1352.191969
1502,1330.573201
1503,1334.96713
1504,1330.183014
1505,1324.514347
1506,1333.460692
1507,1362.446678
1508,1390.337845
1509,1419.055636
1510,1446.584803
1511,1492.219646
1512,31091.29435
1513,29304.24612
1514,28304.63248
1515,26916.54473
1516,26463.81495
1517,26283.44934
1518,25206.49422
1519,24921.68187
1520,23806.92881
1521,23396.96124
1522,23222.90961
1523,22801.1991
1524,22666.35786
1525,23172.2354
1526,22494.39247
1527,22264.71263
1528,21535.02284
1529,21427.63127
1530,21456.48662
1531,21302.97527
1532,21259.1363
1533,21247.23288
1534,21126.93219
1535,20996.74209
1536,20475.9914
1537,20708.87435
1538,20642.19203
1539,20821.91529
1540,13009.89615
1541,13304.40743
1542,13510.87087
1543,13617.1809
1544,13929.64031
1545,14355.41093
1546,14887.44865
1547,14747.73926
1548,14914.90294
1549,14994.19528
1550,15081.75675
1551,15124.72193
1552,14855.4063
1553,15028.86599
1554,14744.16036
1555,14468.58185
1556,14562.66033
1557,14663.8974
1558,14935.24363
1559,15139.09236
1560,15268.65309
1561,15570.04736
1562,15818.47248
1563,15887.72859
1564,16021.71326
1565,16158.78151
1566,16355.20307
1567,16609.2889
1568,18473.3196
1569,17918.39399
1570,17824.23561
1571,17884.17116
1572,17777.67271
1573,17545.07261
1574,17053.97796
1575,16437.17956
1576,15762.98994
1577,16100.07907
1578,15259.75996
1579,15263.24387
1580,15378.5672
1581,15094.88903
1582,14710.39871
1583,14232.20379
1584,14375.48252
1585,14325.87426
1586,13834.28007
1587,13729.84768
1588,13505.77898
1589,12943.00845
1590,12637.86539
1591,12381.96828
1592,11981.14235
1593,11761.18118
1594,11744.90368
1595,11700.02393
1596,116.74074
1597,124.8242275
1598,133.5914363
1599,143.2434115
1600,153.832173
1601,164.2864563
1602,175.0125031
1603,186.3533862
1604,197.5027692
1605,207.5963333
1606,216.6336988
1607,224.6945903
1608,233.2690674
1609,241.0049987
1610,249.0139954
1611,254.3743565
1612,262.4227799
1613,268.1244408
1614,274.313432
1615,281.838707
1616,288.2128673
1617,295.1316366
1618,302.4011322
1619,310.1510065
1620,319.0644897
1621,326.8326443
1622,335.3383363
1623,343.1192593
1624,37.82961516
1625,38.12117741
1626,38.62846767
1627,38.60707671
1628,38.428151
1629,38.05659859
1630,37.65225983
1631,36.83138228
1632,36.1334117
1633,35.63337519
1634,35.14587392
1635,34.61317383
