,total_cases
1687,872.0
1688,876.0
1689,880.0
1690,898.0
1691,916.0
1692,933.0
1693,946.0
1694,948.0
1695,949.0
1696,964.0
1697,969.0
1698,981.0
1699,989.0
1700,998.0
1701,1004.0
1702,1029.0
1703,1050.0
1704,1076.0
1705,1099.0
1706,1122.0
1707,1137.0
1708,1143.0
1709,1164.0
1710,1184.0
1711,1197.0
1712,1212.0
1713,1232.0
1714,1246.0
1715,1263.0
1716,1299.0
1717,1341.0
1718,1385.0
1719,1416.0
1720,1464.0
1721,1521.0
1722,1590.0
1723,1672.0
1724,1722.0
1725,1788.0
1726,1838.0
1727,1891.0
1728,1962.0
1729,1995.0
1730,2047.0
1731,2114.0
1732,2192.0
1733,2269.0
1734,2330.0
1735,2402.0
1736,2466.0
1737,2535.0
1738,2580.0
1739,2662.0
1740,2752.0
1741,2819.0
1742,2893.0
1743,2964.0
1744,3038.0
1745,3106.0
1746,3188.0
1747,3278.0
1748,3371.0
1749,3454.0
1750,3571.0
1751,3667.0
1752,3752.0
1753,3851.0
1754,3906.0
1755,4008.0
1756,4090.0
1757,4171.0
1758,4290.0
1759,4358.0
1760,4466.0
1761,4570.0
1762,4637.0
1763,4763.0
1764,4880.0
1765,4997.0
1766,5105.0
1767,5197.0
1768,5276.0
1769,5396.0
1770,5519.0
1771,5620.0
1772,5750.0
1773,5889.0
1774,6016.0
1775,6151.0
1776,6275.0
1777,6411.0
1778,6536.0
1779,6676.0
1780,6817.0
1781,6971.0
1782,7117.0
1783,7260.0
1784,7380.0
1785,7499.0
1786,7654.0
1787,7812.0
1788,7967.0
1789,8119.0
1790,8275.0
1791,8427.0
1792,8605.0
1793,8759.0
1794,8927.0
1795,9083.0
1796,9195.0
1797,9279.0
1798,9380.0
1799,9513.0
1800,9606.0
1801,9728.0
1802,9844.0
1803,9967.0
1804,10102.0
1805,10255.0
1806,10406.0
1807,10553.0
1808,10704.0
1809,10860.0
1810,11021.0
1811,11185.0
1812,11353.0
1813,11520.0
1814,11672.0
1815,11816.0
1816,11948.0
1817,12073.0
